policy	cluster_unit	cluster_count	model_assessments	bootstrap_iterations	confidence_threshold	sres_threshold	ceis_threshold	ensemble_mode	point_unsafe_downrouting_count	unsafe_downrouting_count_median	unsafe_downrouting_count_ci_low	unsafe_downrouting_count_ci_high	point_unsafe_downrouting_rate	unsafe_downrouting_rate_median	unsafe_downrouting_rate_ci_low	unsafe_downrouting_rate_ci_high	point_high_risk_missed_count	high_risk_missed_count_median	high_risk_missed_count_ci_low	high_risk_missed_count_ci_high	point_critical_miss_count	critical_miss_count_median	critical_miss_count_ci_low	critical_miss_count_ci_high	point_severe_missed_count	severe_missed_count_median	severe_missed_count_ci_low	severe_missed_count_ci_high	point_triggered_count	triggered_count_median	triggered_count_ci_low	triggered_count_ci_high	point_recovery_budget_rate	recovery_budget_rate_median	recovery_budget_rate_ci_low	recovery_budget_rate_ci_high	point_machine_abstention_count	machine_abstention_count_median	machine_abstention_count_ci_low	machine_abstention_count_ci_high	point_exact_recovered_error_count	exact_recovered_error_count_median	exact_recovered_error_count_ci_low	exact_recovered_error_count_ci_high
no_recovery	audio_row	30	90	10000	0.7	20.0	5.0	priority	29	29.0	21.0	38.0	0.3222	0.3222	0.2333	0.4222	6	6.0	2.0	10.0	1	1.0	0.0	3.0	7	7.0	2.0	13.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0
confidence_only_trigger	audio_row	30	90	10000	0.7	20.0	5.0	priority	29	29.0	21.0	38.0	0.3222	0.3222	0.2333	0.4222	6	6.0	2.0	10.0	1	1.0	0.0	3.0	7	7.0	2.0	13.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0
sres_triggered_recovery	audio_row	30	90	10000	0.7	20.0	5.0	priority	24	24.0	15.0	34.0	0.2667	0.2667	0.1667	0.3778	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	35	35.0	27.0	44.0	0.3889	0.3889	0.3	0.4889	0	0.0	0.0	0.0	5	5.0	1.0	9.0
ceis_triggered_conservative_action	audio_row	30	90	10000	0.7	20.0	5.0	priority	24	24.0	15.0	34.0	0.2667	0.2667	0.1667	0.3778	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	35	35.0	27.0	44.0	0.3889	0.3889	0.3	0.4889	0	0.0	0.0	0.0	5	5.0	1.0	9.0
ceis_ensemble_arbitration	audio_row	30	90	10000	0.7	20.0	5.0	priority	24	24.0	15.0	34.0	0.2667	0.2667	0.1667	0.3778	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	47	47.0	36.0	59.0	0.5222	0.5222	0.4	0.6556	18	18.0	6.0	30.0	5	5.0	1.0	9.0
