run_id	rows	expected_rows	cer_mean	wer_mean	cer_raw_macro	cer_raw_micro	wer_raw_whitespace_macro	wer_raw_whitespace_micro	cer_zh_macro	cer_zh_micro	wer_zh_jieba_macro	wer_zh_jieba_micro	metric_profile	reference_high_risk_count	asr_high_risk_count	unsafe_downrouting_count	high_risk_missed_count	over_escalation_count	risk_atom_error_rate	risk_atom_relevant_count	negation_flip_rate	amount_distortion_rate	amount_relevant_count	action_confusion_rate	action_relevant_count	actor_confusion_rate	actor_relevant_count	scam_pattern_confusion_rate	scam_pattern_relevant_count	simplified_char_count	simplified_char_rate	locale_violation_rows	missing_expected_ids	extra_ids	reference_mismatch_rows	notes
sensevoice_small_15_row_candidate	15	15	63.83	79.97	64.46	63.8	100.0	100.0	63.83	63.12	79.97	78.98	paper_primary=cer_zh_micro; supplemental=wer_zh_jieba_micro; cer_mean/wer_mean are stored legacy per-row fields	12	5	10	8	1	0.6349	63	0.3333	0.8667	15	0.9231	13	0.5	14	0.8667	15	209	0.1571	14	0	0	0	aggregate proxy decision metrics from reference transcripts and heuristic labels; not a substitute for human risk-atom annotation
qwen3_asr_0_6b_15_row_candidate	15	15	64.93	82.7	63.56	62.88	100.0	100.0	64.93	64.16	82.7	81.07	paper_primary=cer_zh_micro; supplemental=wer_zh_jieba_micro; cer_mean/wer_mean are stored legacy per-row fields	12	9	7	5	2	0.5238	63	0.4	0.9333	15	0.7692	13	0.2143	14	0.8667	15	260	0.1461	15	0	0	0	aggregate proxy decision metrics from reference transcripts and heuristic labels; not a substitute for human risk-atom annotation
