row_number	selection_stratum	expected_selection_stratum	selection_stratum_matches	row_review_complete	missing_row_fields	model_assessments	reviewed_model_assessments	pending_model_assessments	missing_model_field_counts	model_run_ids
23	clean_control	clean_control	True	True		3	3	0		breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
24	clean_control	clean_control	True	True		3	3	0		breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
25	clean_control	clean_control	True	True		3	3	0		breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
26	clean_control	clean_control	True	True		3	3	0		breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
