omitted_review_row_index	remaining_clusters	scope	target	metric	reviewed_model_assessments	positive_model_assessments	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
6	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	15	0.8912	270.0	0.6341	0.5	0.8667	13	13	2
6	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	15	0.912	5.0	0.6122	0.4412	1.0	15	19	0
7	29	overall	human_decision_change_yes	wer	87	14	0.6903	42.59	0.4444	0.3636	0.5714	8	14	6
7	29	overall	human_decision_change_yes	cer	87	14	0.7216	16.42	0.4138	0.2727	0.8571	12	32	2
7	29	overall	human_decision_change_yes	sres_total	87	14	0.908	270.0	0.6316	0.5	0.8571	12	12	2
7	29	overall	human_decision_change_yes	ceis_max	87	14	0.9207	5.0	0.6087	0.4375	1.0	14	18	0
7	29	overall	human_decision_change_yes_or_uncertain	wer	87	14	0.6903	42.59	0.4444	0.3636	0.5714	8	14	6
7	29	overall	human_decision_change_yes_or_uncertain	cer	87	14	0.7216	16.42	0.4138	0.2727	0.8571	12	32	2
7	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	14	0.908	270.0	0.6316	0.5	0.8571	12	12	2
7	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	14	0.9207	5.0	0.6087	0.4375	1.0	14	18	0
8	29	overall	human_decision_change_yes	wer	87	16	0.6835	42.59	0.4615	0.3913	0.5625	9	14	7
8	29	overall	human_decision_change_yes	cer	87	16	0.7161	16.42	0.4516	0.3043	0.875	14	32	2
8	29	overall	human_decision_change_yes	sres_total	87	16	0.8996	270.0	0.6667	0.5385	0.875	14	12	2
8	29	overall	human_decision_change_yes	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
8	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.6835	42.59	0.4615	0.3913	0.5625	9	14	7
8	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7161	16.42	0.4516	0.3043	0.875	14	32	2
8	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.8996	270.0	0.6667	0.5385	0.875	14	12	2
8	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
9	29	overall	human_decision_change_yes	wer	87	15	0.6889	42.59	0.4444	0.381	0.5333	8	13	7
9	29	overall	human_decision_change_yes	cer	87	15	0.7264	16.42	0.4407	0.2955	0.8667	13	31	2
9	29	overall	human_decision_change_yes	sres_total	87	15	0.8912	270.0	0.6341	0.5	0.8667	13	13	2
9	29	overall	human_decision_change_yes	ceis_max	87	15	0.912	5.0	0.6122	0.4412	1.0	15	19	0
9	29	overall	human_decision_change_yes_or_uncertain	wer	87	15	0.6889	42.59	0.4444	0.381	0.5333	8	13	7
9	29	overall	human_decision_change_yes_or_uncertain	cer	87	15	0.7264	16.42	0.4407	0.2955	0.8667	13	31	2
