batch_order	selection_stratum	row_number	row_review_complete	missing_row_fields	model_assessments	reviewed_model_assessments	pending_model_assessments	missing_model_field_counts	model_run_ids
1	critical_or_high_risk_missed	1	False	reviewer_semantic_risk_label,reviewer_risk_atoms,reviewer_critical_atoms,reviewer_asr_confusion_terms,reviewer_would_asr_error_change_decision,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_annotation_confidence	3	0	3	reviewer_annotation_confidence=3,reviewer_critical_atoms=3,reviewer_expected_safe_action=3,reviewer_would_asr_error_change_decision=3	breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
1	critical_or_high_risk_missed	2	False	reviewer_semantic_risk_label,reviewer_risk_atoms,reviewer_critical_atoms,reviewer_asr_confusion_terms,reviewer_would_asr_error_change_decision,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_annotation_confidence	3	0	3	reviewer_annotation_confidence=3,reviewer_critical_atoms=3,reviewer_expected_safe_action=3,reviewer_would_asr_error_change_decision=3	breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
1	critical_or_high_risk_missed	3	False	reviewer_semantic_risk_label,reviewer_risk_atoms,reviewer_critical_atoms,reviewer_asr_confusion_terms,reviewer_would_asr_error_change_decision,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_annotation_confidence	3	0	3	reviewer_annotation_confidence=3,reviewer_critical_atoms=3,reviewer_expected_safe_action=3,reviewer_would_asr_error_change_decision=3	breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
1	critical_or_high_risk_missed	4	False	reviewer_semantic_risk_label,reviewer_risk_atoms,reviewer_critical_atoms,reviewer_asr_confusion_terms,reviewer_would_asr_error_change_decision,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_annotation_confidence	3	0	3	reviewer_annotation_confidence=3,reviewer_critical_atoms=3,reviewer_expected_safe_action=3,reviewer_would_asr_error_change_decision=3	breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
1	critical_or_high_risk_missed	5	False	reviewer_semantic_risk_label,reviewer_risk_atoms,reviewer_critical_atoms,reviewer_asr_confusion_terms,reviewer_would_asr_error_change_decision,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_annotation_confidence	3	0	3	reviewer_annotation_confidence=3,reviewer_critical_atoms=3,reviewer_expected_safe_action=3,reviewer_would_asr_error_change_decision=3	breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
1	critical_or_high_risk_missed	6	False	reviewer_semantic_risk_label,reviewer_risk_atoms,reviewer_critical_atoms,reviewer_asr_confusion_terms,reviewer_would_asr_error_change_decision,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_annotation_confidence	3	0	3	reviewer_annotation_confidence=3,reviewer_critical_atoms=3,reviewer_expected_safe_action=3,reviewer_would_asr_error_change_decision=3	breeze_asr25_base_high_stakes_300,breeze_asr25_lora_high_stakes_300,breeze_asr25_partial_encoder_high_stakes_300
