scope	target	metric	cluster_unit	cluster_count	reviewed_model_assessments	positive_model_assessments	threshold_type	bootstrap_iterations	point_auc	auc_median	auc_ci_low	auc_ci_high	auc_valid_iterations	point_best_threshold	best_threshold_median	best_threshold_ci_low	best_threshold_ci_high	best_threshold_valid_iterations	point_best_f1	best_f1_median	best_f1_ci_low	best_f1_ci_high	best_f1_valid_iterations	point_precision	precision_median	precision_ci_low	precision_ci_high	precision_valid_iterations	point_recall	recall_median	recall_ci_low	recall_ci_high	recall_valid_iterations	point_true_positive	true_positive_median	true_positive_ci_low	true_positive_ci_high	true_positive_valid_iterations	point_false_positive	false_positive_median	false_positive_ci_low	false_positive_ci_high	false_positive_valid_iterations	point_false_negative	false_negative_median	false_negative_ci_low	false_negative_ci_high	false_negative_valid_iterations
overall	human_decision_change_yes	ceis_max	audio_row	30	90	16	retrospective_best_threshold_on_scoped_audit_set	5000	0.9117	0.915	0.8522	0.9609	5000	5.0	5.0	5.0	10.0	5000	0.6275	0.6512	0.4706	0.8136	5000	0.4571	0.5128	0.3182	1.0	5000	1.0	1.0	0.375	1.0	5000	16	16.0	4.0	23.0	5000	19	17.0	0.0	27.0	5000	0	0.0	0.0	8.0	5000
overall	human_decision_change_yes	cer	audio_row	30	90	16	retrospective_best_threshold_on_scoped_audit_set	5000	0.7276	0.733	0.6102	0.8351	5000	16.42	17.8	15.69	39.6	5000	0.4516	0.4923	0.32	0.6667	5000	0.3043	0.3636	0.2033	0.65	5000	0.875	0.8333	0.4667	1.0	5000	14	13.0	5.0	22.0	5000	32	25.0	5.0	41.0	5000	2	3.0	0.0	8.0	5000
overall	human_decision_change_yes	sres_total	audio_row	30	90	16	retrospective_best_threshold_on_scoped_audit_set	5000	0.8995	0.9049	0.8127	0.9663	5000	270.0	270.0	210.0	345.0	5000	0.6512	0.6667	0.4651	0.84	5000	0.5185	0.5385	0.3158	0.8333	5000	0.875	0.9412	0.5385	1.0	5000	14	15.0	6.0	23.0	5000	13	13.0	2.0	25.025	5000	2	1.0	0.0	6.0	5000
overall	human_decision_change_yes	wer	audio_row	30	90	16	retrospective_best_threshold_on_scoped_audit_set	5000	0.6964	0.7006	0.5737	0.8107	5000	42.59	42.59	11.86	51.22	5000	0.4615	0.4762	0.2895	0.6667	5000	0.3913	0.3846	0.1837	0.6667	5000	0.5625	0.6471	0.4	1.0	5000	9	10.0	5.0	20.0	5000	14	15.0	5.0	52.0	5000	7	5.0	0.0	10.0	5000
overall	human_decision_change_yes_or_uncertain	ceis_max	audio_row	30	90	16	retrospective_best_threshold_on_scoped_audit_set	5000	0.9117	0.915	0.8522	0.9609	5000	5.0	5.0	5.0	10.0	5000	0.6275	0.6512	0.4706	0.8136	5000	0.4571	0.5128	0.3182	1.0	5000	1.0	1.0	0.375	1.0	5000	16	16.0	4.0	23.0	5000	19	17.0	0.0	27.0	5000	0	0.0	0.0	8.0	5000
overall	human_decision_change_yes_or_uncertain	cer	audio_row	30	90	16	retrospective_best_threshold_on_scoped_audit_set	5000	0.7276	0.733	0.6102	0.8351	5000	16.42	17.8	15.69	39.6	5000	0.4516	0.4923	0.32	0.6667	5000	0.3043	0.3636	0.2033	0.65	5000	0.875	0.8333	0.4667	1.0	5000	14	13.0	5.0	22.0	5000	32	25.0	5.0	41.0	5000	2	3.0	0.0	8.0	5000
overall	human_decision_change_yes_or_uncertain	sres_total	audio_row	30	90	16	retrospective_best_threshold_on_scoped_audit_set	5000	0.8995	0.9049	0.8127	0.9663	5000	270.0	270.0	210.0	345.0	5000	0.6512	0.6667	0.4651	0.84	5000	0.5185	0.5385	0.3158	0.8333	5000	0.875	0.9412	0.5385	1.0	5000	14	15.0	6.0	23.0	5000	13	13.0	2.0	25.025	5000	2	1.0	0.0	6.0	5000
overall	human_decision_change_yes_or_uncertain	wer	audio_row	30	90	16	retrospective_best_threshold_on_scoped_audit_set	5000	0.6964	0.7006	0.5737	0.8107	5000	42.59	42.59	11.86	51.22	5000	0.4615	0.4762	0.2895	0.6667	5000	0.3913	0.3846	0.1837	0.6667	5000	0.5625	0.6471	0.4	1.0	5000	9	10.0	5.0	20.0	5000	14	15.0	5.0	52.0	5000	7	5.0	0.0	10.0	5000
