asr_run_id	rows	low_wer_threshold	low_wer_rows	low_wer_rate	low_wer_label_flip_count	low_wer_unsafe_downrouting_count	low_wer_high_risk_missed_count	low_wer_critical_miss_count	low_wer_sres_trigger_count	low_wer_ceis_trigger_count	low_wer_any_danger_count	all_label_flip_count	all_unsafe_downrouting_count	all_high_risk_missed_count
ALL	900	10.0	237	0.2633	2	2	0	0	2	2	2	35	29	6
breeze_asr25_base_high_stakes_300	300	10.0	9	0.03	1	1	0	0	1	1	1	22	20	5
breeze_asr25_lora_high_stakes_300	300	10.0	36	0.12	0	0	0	0	0	0	0	9	6	0
breeze_asr25_partial_encoder_high_stakes_300	300	10.0	192	0.64	1	1	0	0	1	1	1	4	3	1
