scope	asr_run_id	target	metric	rows	positive_rows	positive_rate	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
asr_run	breeze_asr25_base_high_stakes_300	high_risk_missed	ceis_max	300	5	0.0167	0.9942	10.0	0.8889	1.0	0.8	4	0	1
asr_run	breeze_asr25_base_high_stakes_300	critical_miss	wer	300	1	0.0033	0.2274	18.46	0.0086	0.0043	1.0	1	231	0
asr_run	breeze_asr25_base_high_stakes_300	critical_miss	cer	300	1	0.0033	0.3177	15.69	0.0097	0.0049	1.0	1	204	0
asr_run	breeze_asr25_base_high_stakes_300	critical_miss	sres_total	300	1	0.0033	0.9749	285.0	0.1667	0.0909	1.0	1	10	0
asr_run	breeze_asr25_base_high_stakes_300	critical_miss	sres_max	300	1	0.0033	0.9649	75.0	0.087	0.0455	1.0	1	21	0
asr_run	breeze_asr25_base_high_stakes_300	critical_miss	ceis_max	300	1	0.0033	1.0	15.0	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_base_high_stakes_300	over_escalation	wer	300	2	0.0067	0.6174	30.59	0.0328	0.0167	1.0	2	118	0
asr_run	breeze_asr25_base_high_stakes_300	over_escalation	cer	300	2	0.0067	0.6275	22.61	0.0348	0.0177	1.0	2	111	0
asr_run	breeze_asr25_base_high_stakes_300	over_escalation	sres_total	300	2	0.0067	0.9857	285.0	0.3077	0.1818	1.0	2	9	0
asr_run	breeze_asr25_base_high_stakes_300	over_escalation	sres_max	300	2	0.0067	0.9664	75.0	0.1667	0.0909	1.0	2	20	0
asr_run	breeze_asr25_base_high_stakes_300	over_escalation	ceis_max	300	2	0.0067	0.9597	5.0	0.1667	0.0909	1.0	2	20	0
asr_run	breeze_asr25_base_high_stakes_300	danger_event	wer	300	22	0.0733	0.6172	42.59	0.2759	0.2222	0.3636	8	28	14
asr_run	breeze_asr25_base_high_stakes_300	danger_event	cer	300	22	0.0733	0.6175	37.5	0.2273	0.2273	0.2273	5	17	17
asr_run	breeze_asr25_base_high_stakes_300	danger_event	sres_total	300	22	0.0733	1.0	210.0	1.0	1.0	1.0	22	0	0
asr_run	breeze_asr25_base_high_stakes_300	danger_event	sres_max	300	22	0.0733	1.0	75.0	1.0	1.0	1.0	22	0	0
asr_run	breeze_asr25_base_high_stakes_300	danger_event	ceis_max	300	22	0.0733	1.0	5.0	1.0	1.0	1.0	22	0	0
asr_run	breeze_asr25_lora_high_stakes_300	label_flip	wer	300	9	0.03	0.7726	43.33	0.2727	0.2308	0.3333	3	10	6
asr_run	breeze_asr25_lora_high_stakes_300	label_flip	cer	300	9	0.03	0.7883	32.63	0.2143	0.1579	0.3333	3	16	6
asr_run	breeze_asr25_lora_high_stakes_300	label_flip	sres_total	300	9	0.03	1.0	210.0	1.0	1.0	1.0	9	0	0
asr_run	breeze_asr25_lora_high_stakes_300	label_flip	sres_max	300	9	0.03	1.0	75.0	1.0	1.0	1.0	9	0	0
asr_run	breeze_asr25_lora_high_stakes_300	label_flip	ceis_max	300	9	0.03	1.0	5.0	1.0	1.0	1.0	9	0	0
asr_run	breeze_asr25_lora_high_stakes_300	unsafe_downrouting	wer	300	6	0.02	0.8379	49.38	0.3333	0.3333	0.3333	2	4	4
asr_run	breeze_asr25_lora_high_stakes_300	unsafe_downrouting	cer	300	6	0.02	0.8441	32.63	0.24	0.1579	0.5	3	16	3
asr_run	breeze_asr25_lora_high_stakes_300	unsafe_downrouting	sres_total	300	6	0.02	0.9946	210.0	0.8	0.6667	1.0	6	3	0
asr_run	breeze_asr25_lora_high_stakes_300	unsafe_downrouting	sres_max	300	6	0.02	0.9949	75.0	0.8	0.6667	1.0	6	3	0
asr_run	breeze_asr25_lora_high_stakes_300	unsafe_downrouting	ceis_max	300	6	0.02	0.9949	5.0	0.8	0.6667	1.0	6	3	0
asr_run	breeze_asr25_lora_high_stakes_300	high_risk_missed	wer	300	0	0.0		2.5	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_lora_high_stakes_300	high_risk_missed	cer	300	0	0.0		1.18	0.0	0.0	0.0	0	300	0
