scope	unit	score_metric	budget_target_rate	budget_denominator_rows	requested_trigger_rows	triggered_rows	observed_budget_rate	row_severe_miss_baseline	row_severe_miss_remaining	row_severe_misses_eliminated	row_unsafe_downrouting_baseline	row_unsafe_downrouting_remaining	row_critical_miss_baseline	row_critical_miss_remaining	triggers_per_severe_miss_eliminated	tie_score_cutoff	tie_boundary_count	tie_best_case_severe_remaining	tie_worst_case_severe_remaining	claim_uses
exclude_metric_family_selected	audio_row	sres_total	0.4000	62	25	25	0.403226	6	0	6	22	0	1	0	4.166667	0.0	40	0	0	worst_case_boundary
exclude_metric_family_selected	audio_row	ceis_max	0.1000	62	6	6	0.096774	6	0	6	22	16	1	0	1.0	5.0	17	0	1	worst_case_boundary
exclude_metric_family_selected	audio_row	ceis_max	0.2000	62	12	12	0.193548	6	0	6	22	10	1	0	2.0	5.0	17	0	1	worst_case_boundary
exclude_metric_family_selected	audio_row	ceis_max	0.3000	62	19	19	0.306452	6	0	6	22	3	1	0	3.166667	5.0	17	0	1	worst_case_boundary
exclude_metric_family_selected	audio_row	ceis_max	0.4000	62	25	25	0.403226	6	0	6	22	0	1	0	4.166667	0.0	40	0	0	worst_case_boundary
exclude_metric_family_selected	audio_row	max_norm_sres_ceis	0.1000	62	6	6	0.096774	6	4	2	22	16	1	0	3.0	1.0	7	4	6	worst_case_boundary
exclude_metric_family_selected	audio_row	max_norm_sres_ceis	0.2000	62	12	12	0.193548	6	2	4	22	10	1	0	3.0	0.782609	6	2	3	worst_case_boundary
exclude_metric_family_selected	audio_row	max_norm_sres_ceis	0.3000	62	19	19	0.306452	6	0	6	22	3	1	0	3.166667	0.608696	4	0	0	worst_case_boundary
exclude_metric_family_selected	audio_row	max_norm_sres_ceis	0.4000	62	25	25	0.403226	6	0	6	22	0	1	0	4.166667	0.0	40	0	0	worst_case_boundary
exclude_metric_family_selected	audio_row	rank_fusion_sres_ceis	0.1000	62	6	6	0.096774	6	3	3	22	16	1	0	2.0	0.983333	1	3	3	worst_case_boundary
exclude_metric_family_selected	audio_row	rank_fusion_sres_ceis	0.2000	62	12	12	0.193548	6	2	4	22	10	1	0	3.0	0.980556	1	2	2	worst_case_boundary
exclude_metric_family_selected	audio_row	rank_fusion_sres_ceis	0.3000	62	19	19	0.306452	6	0	6	22	3	1	0	3.166667	0.976111	1	0	0	worst_case_boundary
exclude_metric_family_selected	audio_row	rank_fusion_sres_ceis	0.4000	62	25	25	0.403226	6	0	6	22	0	1	0	4.166667	0.171111	1	0	0	worst_case_boundary
exclude_metric_family_selected	audio_row	two_stage_sres_then_ceis	0.1000	62	6	6	0.096774	6	5	1	22	16	1	1	6.0	1.000333	6	5	6	worst_case_boundary
exclude_metric_family_selected	audio_row	two_stage_sres_then_ceis	0.2000	62	12	12	0.193548	6	2	4	22	10	1	0	3.0	0.782942	5	2	2	worst_case_boundary
exclude_metric_family_selected	audio_row	two_stage_sres_then_ceis	0.3000	62	19	19	0.306452	6	0	6	22	3	1	0	3.166667	0.609029	4	0	0	worst_case_boundary
exclude_metric_family_selected	audio_row	two_stage_sres_then_ceis	0.4000	62	25	25	0.403226	6	0	6	22	0	1	0	4.166667	0.0	40	0	0	worst_case_boundary
exclude_metric_family_selected	audio_row	variant_count_only	0.1000	62	6	6	0.096774	6	5	1	22	16	1	1	6.0	5.0	12	5	6	worst_case_boundary
exclude_metric_family_selected	audio_row	variant_count_only	0.2000	62	12	12	0.193548	6	5	1	22	16	1	1	12.0	5.0	12	5	6	worst_case_boundary
exclude_metric_family_selected	audio_row	variant_count_only	0.3000	62	19	19	0.306452	6	2	4	22	9	1	0	4.75	4.0	24	2	5	worst_case_boundary
exclude_metric_family_selected	audio_row	variant_count_only	0.4000	62	25	25	0.403226	6	2	4	22	6	1	0	6.25	4.0	24	2	5	worst_case_boundary
exclude_metric_family_selected	audio_row	ceis_top1_capped	0.1000	62	6	6	0.096774	6	0	6	22	16	1	0	1.0	1.0	22	0	6	worst_case_boundary
exclude_metric_family_selected	audio_row	ceis_top1_capped	0.2000	62	12	12	0.193548	6	0	6	22	10	1	0	2.0	1.0	22	0	6	worst_case_boundary
exclude_metric_family_selected	audio_row	ceis_top1_capped	0.3000	62	19	19	0.306452	6	0	6	22	3	1	0	3.166667	1.0	22	0	6	worst_case_boundary
exclude_metric_family_selected	audio_row	ceis_top1_capped	0.4000	62	25	25	0.403226	6	0	6	22	0	1	0	4.166667	0.0	40	0	0	worst_case_boundary
